line_number,line,isLOI,is_keyword,length,is_regular_expression,is_mathematical_calculation,is_collection_manipulation,is_string_manipulation,is_bit_manipulation,is_variable_assignment
14,"print(""Words starting with 's': "", result)",0,0,42,0,0,0,0,0,0
17,"result = re.findall(r""\w+e\b"", text)",0,0,36,1,1,0,0,0,1
18,"print(""Words ending with 'e': "", result)",0,0,40,0,0,0,0,0,0
21,"result = re.findall(r""\b\w*o\w*\b"", text)",0,0,41,1,1,0,0,0,1
22,"print(""Words containing 'o': "", result)",0,0,39,0,0,0,0,0,0
25,"result = re.findall(r""\b\w{4}\b"", text)",0,0,39,1,0,0,0,0,1
26,"print(""Words of length 4: "", result)",0,0,36,0,0,0,0,0,0
29,"result = re.sub(r""\s"", ""-"", text)",0,0,33,1,1,0,0,0,1
30,"print(""Text with whitespaces replaced: "", result)",0,0,49,0,0,0,1,0,0
33,"result = re.sub(r""is"", ""was"", text)",1,1,35,1,0,0,0,0,1
35,"print(""Text with 'is' replaced: "", result)",0,0,42,0,0,0,1,0,0
39,"print(""Text split by whitespace: "", result)
",0,0,44,0,0,0,0,0,0
5,import sys,0,1,10,0,0,0,0,0,0
6,import re,0,1,9,0,0,0,0,0,0
7,from inline import Here,0,1,23,0,0,0,0,0,0
14,input_list = sys.argv[1:],0,0,25,0,0,0,0,0,1
16,"words = [""   hello"", "" world "", ""hi       i"", ""waddup"", "" hello world""]",0,0,71,0,0,0,0,0,1
18,for iter in range(len(words)):,0,1,30,0,0,0,0,0,0
19,"print(""'"" + re.sub(""^ *| *$"","""",words[iter]) + ""'"")",0,0,51,1,1,0,0,1,0
0,import re,0,1,9,0,0,0,0,0,0
1,from inline import Here,0,1,23,0,0,0,0,0,0
4,"text = ""This is filler text.""",0,0,29,0,0,0,0,0,1
5,"matches = re.findall(r'\b\w{3}\b' , text)",0,0,41,1,0,0,0,0,1
9,"example_list_from_file = ['const button = (""",0,1,44,0,0,0,0,0,0
10,"'const icon = (""",0,0,16,0,0,0,0,0,1
11,"'const audio = (""audio"");']",0,0,27,0,0,0,0,0,1
12,str_output = [],0,0,15,0,0,0,0,0,1
13,for i in range(len(example_list_from_file)):,0,1,44,0,0,0,0,0,0
14,"str_output.append(re.sub(r'(?is)=.\(', '= document.querySelector(', example_list_from_file[i]))",1,1,95,1,0,1,0,0,0
18,pattern = '',0,0,12,0,0,0,0,0,1
19,matched = [],0,0,12,0,0,0,0,0,1
20,word_list = [],0,0,14,0,0,0,0,0,1
21,"matched = list(filter(re.compile(pattern).match, word_list))",0,0,60,1,0,0,0,0,1
26,"find = re.search(pattern, text)",0,0,31,1,0,0,0,0,1
30,"result = re.split(pattern, text, 1)
",0,0,36,1,0,0,0,0,1
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,"def _analyze_einsum_string(equation, bias_axes, input_shape, output_shape):",0,1,75,0,0,0,0,0,0
3,"""""""Analyzes an einsum string to determine the required weight shape.""""""",0,0,71,0,0,0,0,0,0
5,"dot_replaced_string = re.sub(r""\.\.\."", ""0"", equation)",0,0,54,1,0,0,1,0,1
8,"split_string = re.match(""([a-zA-Z]+),([a-zA-Z]+)->([a-zA-Z]+)"", dot_replaced_string)",1,0,84,1,1,0,1,0,1
10,if split_string:,0,1,16,0,0,0,0,0,0
11,"return _analyze_split_string(split_string, bias_axes, input_shape, output_shape)",0,1,80,0,0,0,0,0,0
14,split_string = re.match(,0,0,24,1,0,0,0,0,1
15,"""0([a-zA-Z]+),([a-zA-Z]+)->0([a-zA-Z]+)"", dot_replaced_string",0,0,61,0,1,0,1,0,0
16,),0,0,1,0,0,0,0,0,0
17,if split_string:,0,1,16,0,0,0,0,0,0
18,return _analyze_split_string(,0,1,29,0,0,0,0,0,0
19,"split_string, bias_axes, input_shape, output_shape, left_elided=True",0,1,68,0,0,0,0,0,1
20,),0,0,1,0,0,0,0,0,0
23,split_string = re.match(,0,0,24,1,0,0,0,0,1
24,"""([a-zA-Z]{2,})0,([a-zA-Z]+)->([a-zA-Z]+)0"", dot_replaced_string",0,0,64,0,1,0,1,0,0
25,),0,0,1,0,0,0,0,0,0
26,if split_string:,0,1,16,0,0,0,0,0,0
27,"return _analyze_split_string(split_string, bias_axes, input_shape, output_shape)",0,1,80,0,0,0,0,0,0
29,raise ValueError(,0,1,17,0,0,0,0,0,0
30,"f""Invalid einsum equation '{equation}'. Equations must be in the form """,0,1,71,0,0,0,0,0,0
32,"    )
",0,0,6,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,def get_model_filenames(model_dir):,0,1,35,0,0,0,0,0,0
3,files = os.listdir(model_dir),0,1,29,0,0,0,0,0,1
4,meta_files = [s for s in files if s.endswith('.meta')],0,1,54,0,0,0,0,0,1
5,if len(meta_files)==0:,0,1,22,0,0,0,0,0,0
6,raise ValueError('No meta file found in the model directory (%s)' % model_dir),0,1,78,0,0,0,0,0,0
7,elif len(meta_files)>1:,0,1,23,0,0,0,0,0,0
8,raise ValueError('There should not be more than one meta file in the model directory (%s)' % model_dir),0,1,103,0,0,0,0,0,0
9,meta_file = meta_files[0],0,0,25,0,0,0,0,0,1
10,ckpt = tf.train.get_checkpoint_state(model_dir),0,1,47,0,0,0,0,0,1
11,if ckpt and ckpt.model_checkpoint_path:,0,1,39,0,0,0,0,0,0
12,ckpt_file = os.path.basename(ckpt.model_checkpoint_path),0,1,56,0,0,0,0,0,1
13,"return meta_file, ckpt_file",0,1,27,0,0,0,0,0,0
15,meta_files = [s for s in files if '.ckpt' in s],0,1,47,0,0,0,0,0,1
16,max_step = -1,0,0,13,0,1,0,0,0,1
17,for f in files:,0,1,15,0,0,0,0,0,0
18,"step_str = re.match(r'(^model-[\w\- ]+.ckpt-(\d+))', f)",1,1,55,1,1,0,0,1,1
20,if step_str is not None and len(step_str.groups())>=2:,0,1,54,0,0,0,0,0,1
21,step = int(step_str.groups()[1]),0,0,32,0,0,0,0,0,1
22,if step > max_step:,0,1,19,0,0,0,0,0,0
23,max_step = step,0,0,15,0,0,0,0,0,1
25,"    return meta_file, ckpt_file",0,1,31,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,def split_arguments(argstr):,0,1,28,0,0,0,0,0,0
3,arguments = [],0,0,14,0,0,0,0,0,1
4,current_argument = [],0,0,21,0,0,0,0,0,1
5,i = 0,0,0,5,0,0,0,0,0,1
7,def finish_arg():,0,1,17,0,0,0,0,0,0
8,if current_argument:,0,1,20,0,0,0,0,0,0
9,"argstr = """".join(current_argument).strip()",0,0,42,0,0,0,1,0,1
10,"m = re.match(r""(.*(\s+|\*))(\w+)$"", argstr)",1,0,43,1,1,0,0,1,1
12,if m:,0,1,5,0,0,0,0,0,0
13,typename = m.group(1).strip(),0,0,29,0,0,0,0,0,1
14,name = m.group(3),0,0,17,0,0,0,0,0,1
15,else:,0,1,5,0,0,0,0,0,0
16,typename = argstr,0,0,17,0,0,0,0,0,1
17,"name = """"",0,0,9,0,0,0,0,0,1
18,"arguments.append((typename, name))",0,0,34,0,0,1,0,0,0
19,del current_argument[:],0,1,23,0,0,0,0,0,0
21,while i < len(argstr):,0,1,22,0,0,0,0,0,0
22,c = argstr[i],0,0,13,0,0,0,0,0,1
23,"if c == "","":",0,1,12,0,0,0,0,0,0
24,finish_arg(),0,0,12,0,0,0,0,0,0
25,"elif c == ""("":",0,1,14,0,0,0,0,0,0
26,"p = skip_brackets(argstr[i:], ""("", "")"")",0,0,39,0,0,0,0,0,1
27,current_argument += argstr[i : i + p],0,0,37,0,1,0,0,0,1
28,i += p - 1,0,0,10,0,1,0,0,0,1
29,else:,0,1,5,0,0,0,0,0,0
30,current_argument += c,0,0,21,0,1,0,0,0,1
31,i += 1,0,0,6,0,1,0,0,0,1
33,"    return arguments
",0,1,21,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,def get_device_facts(self):,0,1,27,0,0,0,0,0,0
3,device_facts = {},0,0,17,0,0,0,0,0,1
4,"device_facts[""devices""] = {}",0,0,28,0,0,0,0,0,1
5,d = {},0,0,6,0,0,0,0,0,1
6,"d[""host""] = """"",0,0,14,0,0,0,0,0,1
9,"m = re.match(r"".+/([a-f0-9]{4}:[a-f0-9]{2}:[0|1][a-f0-9]\.[0-7])/"", sysdir)",1,0,75,1,1,0,0,1,1
11,if m and pcidata:,0,1,17,0,0,0,0,0,0
12,pciid = m.group(1),0,0,18,0,0,0,0,0,1
13,did = re.escape(pciid),0,0,22,1,0,0,0,0,1
14,"m = re.search(""^"" + did + r""\s(.*)$"", pcidata, re.MULTILINE)",0,0,60,1,1,0,0,1,1
15,if m:,0,1,5,0,0,0,0,0,0
16,"d[""host""] = m.group(1)",0,0,22,0,0,0,0,0,1
18,"self.get_holders(d, sysdir)",0,0,27,0,0,0,0,0,0
20,"device_facts[""devices""][diskname] = d",0,0,37,0,0,0,0,0,1
22,"    return device_facts
",0,1,24,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,"def _merge_string_group(self, line, string_idx: int):",0,1,53,0,0,0,0,0,0
3,"""""""",0,0,3,0,0,0,0,0,0
4,Merges string group (i.e. set of adjacent strings) where the first,0,0,66,0,0,0,0,0,0
5,string in the group is `line.leaves[string_idx]`.,0,0,49,0,0,0,0,0,0
7,Returns:,0,0,8,0,0,0,0,0,0
8,"Ok(new_line), if ALL of the validation checks found in",0,1,54,0,0,0,0,0,0
9,__validate_msg(...) pass.,0,1,25,0,0,0,0,0,0
10,OR,0,0,2,0,0,0,0,0,0
11,"Err(CannotTransform), otherwise.",0,1,32,0,0,0,0,0,0
12,"""""""",0,0,3,0,0,0,0,0,0
13,LL = line.leaves,0,0,16,0,0,0,0,0,1
15,is_valid_index = is_valid_index_factory(LL),0,0,43,0,0,0,0,0,1
17,"vresult = self._validate_msg(line, string_idx)",0,0,46,0,0,0,0,0,1
18,"if isinstance(vresult, Err):",0,1,28,0,0,0,0,0,0
19,return vresult,0,1,14,0,0,0,0,0,0
23,atom_node = LL[string_idx].parent,0,0,33,0,0,0,0,0,1
29,"BREAK_MARK = ""@@@@@ BLACK BREAKPOINT MARKER @@@@@""",0,0,50,0,0,0,0,0,1
31,QUOTE = LL[string_idx].value[-1],0,0,32,0,1,0,0,0,1
33,"def make_naked(string: str, string_prefix: str) -> str:",0,1,55,0,1,0,0,0,0
34,"""""""Strip @string (i.e. make it a ""naked"" string)",0,0,48,0,0,0,0,0,0
36,Pre-conditions:,0,0,15,0,1,0,0,0,0
37,* assert_is_leaf_string(@string),0,1,32,0,1,0,0,0,0
39,Returns:,0,0,8,0,0,0,0,0,0
40,A string that is identical to @string except that,0,1,49,0,0,0,0,0,0
41,"@string_prefix has been stripped, the surrounding QUOTE",0,1,55,0,0,0,0,0,0
42,"characters have been removed, and any remaining QUOTE",0,0,53,0,0,1,0,0,0
43,characters have been escaped.,0,0,29,0,0,0,0,0,0
44,"""""""",0,0,3,0,0,0,0,0,0
45,assert_is_leaf_string(string),0,1,29,0,0,0,0,0,0
47,"RE_EVEN_BACKSLASHES = r""(?:(?<!\\)(?:\\\\)*)""",0,0,45,0,1,0,0,0,1
48,naked_string = string[len(string_prefix) + 1 : -1],0,0,50,0,1,0,0,0,1
49,naked_string = re.sub(,0,0,22,1,0,0,0,0,1
50,"""("" + RE_EVEN_BACKSLASHES + "")"" + QUOTE, r""\1\\"" + QUOTE, naked_string",0,0,70,0,1,0,0,0,0
51,),1,0,1,0,0,0,0,0,0
53,return naked_string,0,1,19,0,0,0,0,0,0
57,custom_splits = [],0,0,18,0,0,0,0,0,1
60,prefix_tracker = [],0,0,19,0,0,0,0,0,1
64,next_str_idx = string_idx,0,0,25,0,0,0,0,0,1
65,"prefix = """"",0,0,11,0,0,0,0,0,1
66,while (,0,1,7,0,0,0,0,0,0
67,not prefix,0,0,10,0,0,0,0,0,0
68,and is_valid_index(next_str_idx),0,0,32,0,0,0,0,0,0
69,and LL[next_str_idx].type == token.STRING,0,0,41,0,0,0,0,0,0
70,):,0,0,2,0,0,0,0,0,0
71,prefix = get_string_prefix(LL[next_str_idx].value).lower(),0,0,58,0,0,0,1,0,1
72,next_str_idx += 1,0,0,17,0,1,0,0,0,1
83,"S = """"",0,0,6,0,0,0,0,0,1
84,"NS = """"",0,0,7,0,0,0,0,0,1
85,num_of_strings = 0,0,0,18,0,0,0,0,0,1
86,next_str_idx = string_idx,0,0,25,0,0,0,0,0,1
87,while is_valid_index(next_str_idx) and LL[next_str_idx].type == token.STRING:,0,1,77,0,0,0,0,0,0
88,num_of_strings += 1,0,0,19,0,1,0,0,0,1
90,SS = LL[next_str_idx].value,0,0,27,0,0,0,0,0,1
91,next_prefix = get_string_prefix(SS).lower(),0,0,43,0,0,0,1,0,1
95,"if ""f"" in prefix and ""f"" not in next_prefix:",0,1,44,0,0,0,0,0,0
97,"SS = re.sub(r""(\{|\})"", r""\1\1"", SS)",0,0,36,1,0,0,0,1,1
99,"NSS = make_naked(SS, next_prefix)",0,0,33,0,0,0,0,0,1
101,has_prefix = bool(next_prefix),0,1,30,0,0,0,0,0,1
102,prefix_tracker.append(has_prefix),0,1,33,0,0,1,0,0,0
104,S = prefix + QUOTE + NS + NSS + BREAK_MARK + QUOTE,0,0,50,0,1,0,0,0,1
105,"NS = make_naked(S, prefix)",0,0,26,0,0,0,0,0,1
107,next_str_idx += 1,0,0,17,0,1,0,0,0,1
109,"S_leaf = Leaf(token.STRING, S)",0,0,30,0,0,0,0,0,1
110,if self.normalize_strings:,0,1,26,0,0,0,0,0,0
111,S_leaf.value = normalize_string_quotes(S_leaf.value),0,0,52,0,0,0,0,0,1
114,temp_string = S_leaf.value[len(prefix) + 1 : -1],0,0,48,0,1,0,0,0,1
115,for has_prefix in prefix_tracker:,0,1,33,0,0,0,0,0,0
116,mark_idx = temp_string.find(BREAK_MARK),0,0,39,0,0,0,0,0,1
117,assert (,0,1,8,0,0,0,0,0,0
118,mark_idx >= 0,0,0,13,0,0,0,0,0,1
119,"), ""Logic error while filling the custom string breakpoint cache.""",0,1,66,0,0,0,0,0,0
121,temp_string = temp_string[mark_idx + len(BREAK_MARK) :],0,0,55,0,1,0,0,0,1
122,breakpoint_idx = mark_idx + (len(prefix) if has_prefix else 0) + 1,0,1,66,0,1,0,0,0,1
123,"custom_splits.append(CustomSplit(has_prefix, breakpoint_idx))",0,1,61,0,0,1,0,0,0
125,"string_leaf = Leaf(token.STRING, S_leaf.value.replace(BREAK_MARK, """"))",0,0,70,0,0,0,1,0,1
127,if atom_node is not None:,0,1,25,0,0,0,0,0,0
128,"replace_child(atom_node, string_leaf)",0,0,37,0,0,0,1,0,0
131,new_line = line.clone(),0,0,23,0,0,0,0,0,1
132,"for (i, leaf) in enumerate(LL):",0,1,31,0,0,0,0,0,0
133,if i == string_idx:,0,1,19,0,0,0,0,0,0
134,new_line.append(string_leaf),0,0,28,0,0,1,0,0,0
136,if string_idx <= i < string_idx + num_of_strings:,0,1,49,0,1,0,0,0,1
137,for comment_leaf in line.comments_after(LL[i]):,0,1,47,0,0,0,0,0,0
138,"new_line.append(comment_leaf, preformatted=True)",0,1,48,0,0,1,1,0,1
139,continue,0,1,8,0,0,0,0,0,0
141,"append_leaves(new_line, line, [leaf])",0,0,37,0,0,1,0,0,0
144,"    return Ok(new_line)
",0,1,24,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,"def _login(self, webpage_url, display_id):",0,1,42,0,0,0,0,0,0
3,"username, password = self._get_login_info()",0,1,43,0,0,0,0,0,1
4,if username is None or password is None:,0,1,40,0,0,0,0,0,0
5,self.report_warning(,0,0,20,0,0,0,0,0,0
6,"""It looks like """,0,0,16,0,0,0,0,0,0
7,#NAME?,0,0,13,0,1,0,0,0,0
8, requires a login. Try specifying a username and password and try again.,0,1,76,0,1,0,0,0,0
9,),0,0,1,0,0,0,0,0,0
10,return None,0,1,11,0,0,0,0,0,0
12,"mobj = re.match(r""(?P<root_url>https?://.*?/).*"", webpage_url)",1,0,62,1,1,0,0,0,1
14,"login_url = mobj.group(""root_url"") + ""api/login.php""",0,0,52,0,1,0,0,0,1
15,"logout_url = mobj.group(""root_url"") + ""logout""",0,0,46,0,1,0,0,0,1
17,login_form = {,0,1,14,0,0,0,0,0,1
18,"""email"": username,",0,0,18,0,0,0,0,0,0
19,"""password"": password,",0,1,21,0,0,0,0,0,0
20,},0,0,1,0,0,0,0,0,0
22,"request = sanitized_Request(login_url, urlencode_postdata(login_form))",0,1,70,0,0,0,1,0,1
23,"request.add_header(""Content-Type"", ""application/x-www-form-urlencoded"")",0,1,71,0,1,0,1,0,0
24,"self._download_webpage(request, display_id, ""Logging in"")",0,0,57,0,0,0,0,0,0
25,start_page = self._download_webpage(,0,0,36,0,0,0,0,0,1
26,"webpage_url, display_id, ""Getting authenticated video page""",0,0,59,0,0,0,0,0,0
27,),0,0,1,0,0,0,0,0,0
28,"self._download_webpage(logout_url, display_id, ""Logging out"")",0,0,61,0,0,0,0,0,0
30,"    return start_page
",0,1,22,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,@classmethod,0,1,12,0,0,0,0,0,0
3,"def _from_str(cls, text):",0,1,25,0,0,0,0,0,0
4,orig = text,0,0,11,0,0,0,0,0,1
5,"if text.startswith((""const "", ""volatile "")):",0,1,44,0,0,0,0,0,0
6,"typequal, _, text = text.partition("" "")",0,0,39,0,0,0,0,0,1
7,else:,0,1,5,0,0,0,0,0,0
8,typequal = None,0,0,15,0,0,0,0,0,1
11,"m = re.match(r""^ *'?([a-zA-Z_]\w*(?:\s+[a-zA-Z_]\w*)*)\s*(.*?)'?\s*$"", text)",1,0,76,1,1,0,0,1,1
13,if not m:,0,1,9,0,0,0,0,0,0
14,"raise ValueError(f""invalid vartype text {orig!r}"")",0,1,50,0,0,0,0,0,0
15,"typespec, abstract = m.groups()",0,0,31,0,0,0,0,0,1
17,"    return cls(typequal, typespec, abstract or None)
",0,1,53,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,"def get_assignment_map_from_checkpoint(tvars, init_checkpoint):",0,1,63,0,0,0,0,0,0
3,"""""""Compute the union of the current variables and checkpoint variables.""""""",0,0,74,0,0,0,0,0,0
4,assignment_map = {},0,1,19,0,0,0,0,0,1
5,initialized_variable_names = {},0,0,31,0,0,0,0,0,1
7,name_to_variable = collections.OrderedDict(),0,0,44,0,0,0,0,0,1
8,for var in tvars:,0,1,17,0,0,0,0,0,0
9,name = var.name,0,0,15,0,0,0,0,0,1
10,"m = re.match(""^(.*):\\d+$"", name)",1,0,33,1,1,0,0,1,1
12,if m is not None:,0,1,17,0,0,0,0,0,0
13,name = m.group(1),0,0,17,0,0,0,0,0,1
14,name_to_variable[name] = var,0,0,28,0,0,0,0,0,1
16,init_vars = tf.train.list_variables(init_checkpoint),0,0,52,0,0,0,0,0,1
18,assignment_map = collections.OrderedDict(),0,1,42,0,0,0,0,0,1
19,for x in init_vars:,0,1,19,0,0,0,0,0,0
20,"(name, var) = (x[0], x[1])",0,0,26,0,0,0,0,0,1
21,if name not in name_to_variable:,0,1,32,0,0,0,0,0,0
22,continue,0,1,8,0,0,0,0,0,0
23,assignment_map[name] = name,0,1,27,0,0,0,0,0,1
24,initialized_variable_names[name] = 1,0,0,36,0,0,0,0,0,1
25,"initialized_variable_names[name + "":0""] = 1",0,0,43,0,1,0,0,0,1
27,"  return (assignment_map, initialized_variable_names)",0,1,53,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,"def validate_case_matches_checkpoint(do_lower_case, init_checkpoint):",0,1,69,0,0,0,1,0,0
3,"""""""Checks whether the casing config is consistent with the checkpoint name.""""""",0,1,78,0,0,0,0,0,0
10,if not init_checkpoint:,0,1,23,0,0,0,0,0,0
11,return,0,1,6,0,0,0,0,0,0
13,"m = re.match(""^.*?([A-Za-z0-9_-]+)/bert_model.ckpt"", init_checkpoint)",1,1,69,1,1,0,0,1,1
15,if m is None:,0,1,13,0,0,0,0,0,0
16,return,0,1,6,0,0,0,0,0,0
18,model_name = m.group(1),0,1,23,0,0,0,0,0,1
20,lower_models = [,0,1,16,0,0,0,1,0,1
21,"""uncased_L-24_H-1024_A-16"",",0,1,27,0,1,0,0,0,0
22,"""uncased_L-12_H-768_A-12"",",0,1,26,0,1,0,0,0,0
23,"""multilingual_L-12_H-768_A-12"",",0,0,31,0,1,0,0,0,0
24,"""chinese_L-12_H-768_A-12"",",0,0,26,0,1,0,0,0,0
25,],0,0,1,0,0,0,0,0,0
27,cased_models = [,0,1,16,0,0,0,0,0,1
28,"""cased_L-12_H-768_A-12"",",0,1,24,0,1,0,0,0,0
29,"""cased_L-24_H-1024_A-16"",",0,1,25,0,1,0,0,0,0
30,"""multi_cased_L-12_H-768_A-12"",",0,1,30,0,1,0,0,0,0
31,],0,0,1,0,0,0,0,0,0
33,is_bad_config = False,0,0,21,0,0,0,0,0,1
34,if model_name in lower_models and not do_lower_case:,0,1,52,0,0,0,1,0,0
35,is_bad_config = True,0,0,20,0,0,0,0,0,1
36,"actual_flag = ""False""",0,0,21,0,0,0,0,0,1
37,"case_name = ""lowercased""",0,1,24,0,0,0,1,0,1
38,"opposite_flag = ""True""",0,0,22,0,0,0,0,0,1
40,if model_name in cased_models and do_lower_case:,0,1,48,0,0,0,1,0,0
41,is_bad_config = True,0,0,20,0,0,0,0,0,1
42,"actual_flag = ""True""",0,0,20,0,0,0,0,0,1
43,"case_name = ""cased""",0,1,19,0,0,0,0,0,1
44,"opposite_flag = ""False""",0,0,23,0,0,0,0,0,1
46,if is_bad_config:,0,1,17,0,0,0,0,0,0
47,raise ValueError(,0,1,17,0,0,0,0,0,0
48,"""You passed in `--do_lower_case=%s` with `--init_checkpoint=%s`. """,0,1,66,0,1,0,1,0,0
49,"""However, `%s` seems to be a %s model, so you """,0,1,47,0,0,0,0,0,0
50,"""should pass in `--do_lower_case=%s` so that the fine-tuning matches """,0,1,70,0,1,0,1,0,1
51,"""how the model was pre-training. If this error is wrong, please """,0,1,65,0,1,0,0,0,0
52,"""just comment out this check.""",0,0,30,0,0,0,0,0,0
54,"        )
",0,0,10,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,"def auto_augment_transform(config_str, hparams):",0,1,48,0,0,0,0,0,0
3,"""""""",0,0,3,0,0,0,0,0,0
4,Create a AutoAugment transform,0,1,30,0,0,0,0,0,0
6,:param config_str: String defining configuration of auto augmentation. Consists of multiple sections separated by,0,1,113,0,0,0,0,0,0
7,"dashes ('-'). The first section defines the AutoAugment policy (one of 'v0', 'v0r', 'original', 'originalr').",0,1,109,0,1,0,0,0,0
8,"The remaining sections, not order sepecific determine",0,1,53,0,0,0,0,0,0
9,'mstd' -  float std deviation of magnitude noise applied,0,0,56,0,1,0,0,0,0
10,"Ex 'original-mstd0.5' results in AutoAugment with original policy, magnitude_std 0.5",0,0,84,0,1,0,0,0,0
12,:param hparams: Other hparams (kwargs) for the AutoAugmentation scheme,0,1,70,0,0,0,0,0,0
14,:return: A PyTorch compatible Transform,0,1,39,0,0,0,0,0,0
15,"""""""",0,0,3,0,0,0,0,0,0
16,config = config_str.split('-'),0,0,30,0,1,0,0,0,1
17,policy_name = config[0],0,0,23,0,0,0,0,0,1
18,config = config[1:],0,0,19,0,0,0,0,0,1
19,for c in config:,0,1,16,0,0,0,0,0,0
20,"cs = re.split(r'(\d.*)', c)",1,0,27,1,1,0,0,0,1
23,if len(cs) < 2:,0,1,15,0,0,0,0,0,0
24,continue,0,1,8,0,0,0,0,0,0
25,"key, val = cs[:2]",0,0,17,0,0,0,0,0,1
26,if key == 'mstd':,0,1,17,0,0,0,0,0,0
28,"hparams.setdefault('magnitude_std', float(val))",0,1,47,0,0,0,0,0,0
29,else:,0,1,5,0,0,0,0,0,0
30,"assert False, 'Unknown AutoAugment config section'",0,1,50,0,0,0,0,0,0
32,"    return AutoAugment(aa_policy)
",0,1,34,0,0,0,0,0,0
5,import sys,0,1,10,0,0,0,0,0,0
6,import re,0,1,9,0,0,0,0,0,0
7,import random,0,1,13,0,0,0,0,0,0
8,from inline import Here,0,1,23,0,0,0,0,0,0
16,input_list = sys.argv[1:],0,0,25,0,0,0,0,0,1
18,for iter in range(10):,0,1,22,0,0,0,0,0,0
20,"id_num = """"",0,0,11,0,0,0,0,0,1
21,"poss_digits = [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 'A', 'E', 'I', 'O', 'U', 'X', 'Y']",0,0,79,0,0,0,0,0,1
22,for digit in range(6):,0,1,22,0,0,0,0,0,0
23,"id_num = id_num + str(poss_digits[random.randint(0, 16)])",0,0,57,0,1,0,0,0,1
24,print(id_num),0,0,13,0,0,0,0,0,0
5,import sys,0,1,10,0,0,0,0,0,0
6,import re,0,1,9,0,0,0,0,0,0
7,from inline import Here,0,1,23,0,0,0,0,0,0
14,input_list = sys.argv[1:],0,0,25,0,0,0,0,0,1
17,def uppcase(match):,0,1,19,0,0,0,0,0,0
18,arr = match.span(),0,0,18,0,0,0,0,0,1
19,return match.group(1).upper() + match.string[arr[0]+2:arr[1]],0,1,61,0,1,0,0,0,0
22,"titles = [""not the same anymore"", ""ode To the Mets"", ""Why Are Sundays So Depressing"",",0,0,85,0,0,0,0,0,1
23,"""brooklyn bridge"", ""Eternal summer"", ""the adults are talking"", ""selfless"",",0,0,74,0,0,0,0,0,0
24,"""at the Door"", ""bad decisions""]",0,0,31,0,0,0,0,0,0
26,for iter in range(len(titles)):,0,1,31,0,0,0,0,0,0
28,"print(re.sub(r'( [a-z])[a-z]*', uppcase, "" ""+titles[iter]).strip())",0,1,67,1,1,0,0,0,0
0,import re,0,1,9,0,0,0,0,0,0
1,from inline import Here,0,1,23,0,0,0,0,0,0
3,"text = ""This is a sentence with multiple words and numbers 1234567890.""",0,0,71,0,0,0,0,0,1
6,"result = re.findall(r""[a-zA-Z]"", text)",0,0,38,1,1,0,0,0,1
7,"print(""Letters: "", result)",0,0,26,0,0,0,0,0,0
9,"result = re.findall(r""\d"", text)",0,0,32,1,0,0,0,0,1
10,"print(""Digits: "", result)",0,0,25,0,0,0,0,0,0
13,"result = re.findall(r""\bs\w+"", text)",0,0,36,1,1,0,0,0,1
14,"print(""Words starting with 's': "", result)",0,0,42,0,0,0,0,0,0
17,"result = re.findall(r""\w+e\b"", text)",0,0,36,1,1,0,0,0,1
18,"print(""Words ending with 'e': "", result)",0,0,40,0,0,0,0,0,0
21,"result = re.findall(r""\b\w*o\w*\b"", text)",0,0,41,1,1,0,0,0,1
22,"print(""Words containing 'o': "", result)",0,0,39,0,0,0,0,0,0
25,"result = re.findall(r""\b\w{4}\b"", text)",1,0,39,1,0,0,0,0,1
27,"print(""Words of length 4: "", result)",0,0,36,0,0,0,0,0,0
30,"result = re.sub(r""\s"", ""-"", text)",0,0,33,1,1,0,0,0,1
31,"print(""Text with whitespaces replaced: "", result)",0,0,49,0,0,0,1,0,0
34,"result = re.sub(r""is"", ""was"", text)",0,1,35,1,0,0,0,0,1
35,"print(""Text with 'is' replaced: "", result)",0,0,42,0,0,0,1,0,0
39,"print(""Text split by whitespace: "", result)
",0,0,44,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,def _detect_nodejs() -> str:,0,1,28,0,1,0,0,0,0
3,nodejs_path = settings.nodejs_path(),0,0,36,0,0,0,0,0,1
4,"nodejs_paths = [nodejs_path] if nodejs_path is not None else [""nodejs"", ""node""]",0,1,79,0,0,0,0,0,1
6,for nodejs_path in nodejs_paths:,0,1,32,0,0,0,0,0,0
7,try:,0,1,4,0,0,0,0,0,0
8,"proc = Popen([nodejs_path, ""--version""], stdout=PIPE, stderr=PIPE)",0,0,66,0,1,0,0,0,0
